Band	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Sarah and the Safe Word																							1
Save Ferris				1		1																	1
Saves the Day						1						1								1			
Saosin											1				1								
Saving Grace															1								
Say Anything														1									
Say No More														1									
SayWeCanFly																					1	1	
Say When															1								
Scare Don't Fear																				1			
Scary Kids Scaring Kids											1		1		1								
The Scissors																		1					
Seaway																					1		
Seaweed	1																						
Secret Broadcast													1										
The Secret Handshake														1									
SECRETS																			1	1		1	
Senses Fail								1		1	1			1				1			1		
Separations																							1
Set It Off																			1		1	1	
Set Your Goals													1	1		1	1				1	1	
Settings														1									
Sevendust					1																		
Shad															1								
Sharks																	1						
Shattered Sun																							1
The Sheds																	1						
Shinobi Ninja																	1			1			
Shira																	1						
Shiragirl										1	1	1									1		
Shooter Jennings															1								
Shot In The Dark																				1			
Shut Up And Deal																	1						
Shwayze														1									
Shy KidX																			1				
Sick City														1									
Sick of It All	1		1																				1
Sick of Sarah																	1	1					
Silent Planet																						1	1
The Silver Comet																		1					
Silverstein										1	1	1			1			1	1		1		1
Simple Plan					1	1	1	1	1	1	1					1	1	1			1		
Sing It Loud															1								
Single File												1		1									
Six Feet Under						1																	
Skarhead						1																	
Skavoovie and the Epitones				1																			
Skeet Skeet														1									
Skindred											1												
Skinny Lister																		1					
Skip The Foreplay																		1					
Sky Eats Airplane														1									
Sleeper Agent																				1			
Sleeper Set Sail											1												
The Sleeping												1											
Sleeping With Sirens																		1	1	1	1	1	
Sleepwalker																		1					
The Smashup												1											
The Smooths				1																			
Snapcase				1		1																	
Snot			1																				
So Long Arletta																	1						
So They Say												1	1										
Social Distortion			1																				
Someday Never											1	1											
Something Corporate								1	1		1												
Somerset								1															
Sonic Boom Six																							1
The Sounds										1		1											
The Specials				1																			
The Spill Canvas													1										
Spring Heeled Jack					1																		
Sprout							1																
Stacked Like Pancakes																					1		1
Staind				1																			
The Starting Line								1	1		1		1										
State Champs																				1		1	
Staylefish														1	1								
Stepdad																		1					
Stephan Jacobs																			1				
Stephen Jerzak																	1						
Stick to Your Guns														1					1				1
Still Remains													1										
The Stingrays						1																	
Story of the Year								1	1	1	1			1					1				
The Story So Far																			1	1		1	
Strangers You Know																				1	1		
Strawberry Blondes																			1				
Stray from the Path																				1			
Straylight Run													1										
Street Dogs														1			1						1
Street Drum Corps													1	1									
Streetlight Manifesto															1	1		1					1
Stretch Armstrong										1													
Strike Anywhere											1												
Strung Out			1							1	1												1
Stutterfly											1												
Sublime	1																						
Suburban Legends											1												
Sugarcult							1			1													
Sugar Ray			1																				
Suicidal Tendencies					1																		
Suicide Machines		1				1			1		1												1
Suicide Silence																1							
The Suit																	1						
Sum 41							1		1				1		1	1	1					1	
The Summer Set																1			1	1		1	
The Sunstreak												1											
Supe														1									
Super Water Sympathy																		1	1				
Supernova	1												1										
Survive This!																				1			
The Swellers																			1				
Swingin' Utters	1			1																			
Switched							1	1															
Sworn In																							1
Sydney												1											
Sykes																						1	
Sylar																							1
T. Mills																		1					
Taking Back Sunday									1	1								1					
Talib Kweli												1											
TAT												1		1	1						1		
Taylor Thrash																		1					
